Part Description,Number,Manufacturer,MPN /Â Details
IEC mains inlet module,1,???,???
Heatsinks 300 x 100 x 40 mm,2,Fischer,SK 56 100 SA
Amplifier front plate,1,Front Panel Express,file {\tt OSDEHA\_AMP\_front.fpd}
Amplifier top plate,1,Front Panel Express,file {\tt OSDEHA\_AMP\_top.fpd}
Amplifier rear plate,1,Front Panel Express,file {\tt OSDEHA\_AMP\_rear.fpd}
Amplifier bottom plate,1,Front Panel Express,file {\tt OSDEHA\_AMP\_bottom.fpd}
Amplifier DHT subchassis plate,1,Front Panel Express,file {\tt OSDEHA\_AMP\_subchassis.fpd}
Power supply front plate,1,Front Panel Express,
Power supply top plate,1,Front Panel Express,
Power supply rear plate,1,Front Panel Express,
Power supply bottom plate,1,Front Panel Express,
Power supply side plates,2,Front Panel Express,
Chassis joints 10 x 10 mm,,n/a,"Aluminium rods, cut to length, with mount holes /M4 threads as needed"
Power supply outlet socket (HV),1,Amphenol,MS3102E18-8S
Power supply outlet socket (F+H),1,Amphenol,MS3102E18-12S
Amplifier power socket (HV),1,Amphenol,MS3102E18-8P
Amplifier power socket (F+H),1,Amphenol,MS3102E18-12P
Umbilical connector (HV/PSU),1,Amphenol,MS3106E18-8P
Umbilical connector (F+H/PSU),1,Amphenol,MS3106E18-12P
Umbilical connector (HV/AMP),1,Amphenol,MS3106E18-8S
Umbilical connector (F+H/AMP),1,Amphenol,MS3106E18-12S
Umbilical wires,2,Lapp,301606S
